EIN,returnDateStamp,TotalEmployeeCnt,TotalContributionsAmt,CYTotalRevenueAmt,
113299408,2023-11-02T08:19:38-07:00,43,1811600,2934400,
770487468,2021-05-17T21:52:22-05:00,20,1803180,1906266,
263547740,2018-03-07T08:31:38-07:00,5,29213,117847,
800267674,2022-11-10T10:45:19-08:00,24,2707743,3653789,
842322254,2023-11-10T09:31:21-08:00,0,178532,178532,
800267674,2023-10-13T16:30:42-07:00,37,3843609,5075296,
770487468,2022-05-15T21:32:58-05:00,59,1584180,1643050,
770487468,2023-05-04T11:29:45-05:00,26,1449209,1516610,
263547740,2023-08-09T17:27:46-04:00,4,32361,170705,
113299408,2021-11-15T11:32:02-08:00,67,1018069,2066293,
113299408,2018-07-18T12:34:20-07:00,56,1728847,2559686,
263547740,2022-04-14T19:57:29-05:00,7,8324,153981,
842322254,2021-10-28T15:35:03-05:00,0,2701455,2701455,
263547740,2021-03-02T10:12:01-06:00,5,54261,148186,
842322254,2022-10-25T13:44:09-05:00,0,381966,381966,
842322254,2020-06-15T12:38:54-05:00,,,,
800267674,2021-10-21T08:08:07-07:00,37,1787265,2497093,
